Name,Address,Hours,Phone,Closed
Target Chicago Peterson Ave,"2112 W Peterson Ave, Chicago, IL 60659-4277",Open today: 8:00 am - 9:00 pm,773-761-3001,FALSE
Target Chicago Mid North,"2939 W Addison St, Chicago, IL 60618-4635",Open today: 8:00 am - 9:00 pm,773-604-7680,FALSE
Target Chicago Wilson Yard,"4466 N Broadway St, Chicago, IL 60640-5660",Open today: 8:00 am - 9:00 pm,773-596-2376,FALSE
Target Rogers Park,"6422 N. Sheridan Rd Unit A, Chicago, IL 60626-5336",Open today: 8:00 am - 9:00 pm,773-681-5154,FALSE
Target Chicago Lakeview Ashland,"3300 N. Ashland Ave, Chicago, IL 60657-2109",Open today: 8:00 am - 9:00 pm,773-598-2532,FALSE
Target Chicago Near North,"2656 N Elston Ave, Chicago, IL 60647-2019",Open today: 8:00 am - 9:00 pm,773-252-1994,FALSE
Target Evanston,"2209 Howard St, Evanston, IL 60202-3636",Open today: 8:00 am - 9:00 pm,847-733-1144,FALSE
Target Chicago Lakeview Belmont Stn,"3204 N Clark St, Chicago, IL 60657-1602",Open today: 8:00 am - 9:00 pm,773-598-2480,FALSE
Target Chicago Lincoln Park North,"2650 N. Clark St, Chicago, IL 60614-1523",Open today: 7:00 am - 9:00 pm,773-799-9142,FALSE
Target Niles,"6150 W Touhy Ave, Niles, IL 60714-4621",Open today: 8:00 am - 9:00 pm,847-588-2800,FALSE
Target Chicago Wicker Park,"1664 W Division St, Chicago, IL 60622-3922",Open today: 8:00 am - 9:00 pm,773-598-2638,FALSE
Target Evanston Downtown,"1616 Sherman Ave, Evanston, IL 60201-5621",Open today: 8:00 am - 9:00 pm,847-448-1816,FALSE
Target Skokie IL,"4955 Dempster St, Skokie, IL 60077-1842",Open today: 8:00 am - 9:00 pm,224-601-3390,FALSE
Target Chicago Brickyard,"6525 W Diversey Ave, Chicago, IL 60707-2312",Open today: 8:00 am - 9:00 pm,773-804-3610,FALSE
Target Chicago Larrabee,"1200 N Larrabee St, Chicago, IL 60610",Open today: 8:00 am - 9:00 pm,312-470-8944,FALSE
Target Norridge,"4050 N Harlem Ave, Norridge, IL 60706-1202",Open today: 8:00 am - 9:00 pm,708-583-6980,FALSE
Target Chicago West Loop,"1101 W Jackson Blvd, Chicago, IL 60607-2905",Open today: 8:00 am - 9:00 pm,312-279-3340,FALSE
Target Chicago Streeterville,"401 E Illinois St, Chicago, IL 60611-4390",Open today: 7:00 am - 9:00 pm,312-894-1764,FALSE
Target Chicago State St.,"1 S State St, Chicago, IL 60603",Open today: 8:00 am - 9:00 pm,312-279-2133,FALSE
Target OakPark,"1129 Lake Street, Oak Park, IL 60301-1001",Open today: 8:00 am - 9:00 pm,708-622-9729,FALSE
Target Cicero,"2901 S Cicero Ave, Cicero, IL 60804-3637",Open today: 8:00 am - 9:00 pm,708-863-6830,FALSE
Target Chicago South Pulaski,"4433 S Pulaski Rd, Chicago, IL 60632-4010",Open today: 8:00 am - 9:00 pm,773-579-2120,FALSE
Target Chicago McKinley Park,"1940 W 33rd St, Chicago, IL 60608-6107",Open today: 8:00 am - 9:00 pm,773-843-3250,FALSE
Target Broadview,"800 Broadview Village Sq, Broadview, IL 60155-4887",Open today: 7:00 am - 9:00 pm,708-731-5555,FALSE
Target Bedford Park,"7100 S Cicero Ave, Chicago, IL 60629-5813",Open today: 8:00 am - 9:00 pm,708-563-9050,FALSE
Target Melrose Park,"850 W North Ave, Melrose Park, IL 60160-1611",Open today: 8:00 am - 9:00 pm,708-338-2784,FALSE
Target Hodgkins,"9250 Joliet Rd, Hodgkins, IL 60525-4162",Open today: 8:00 am - 9:00 pm,708-387-2350,FALSE
Target Hillside,"130 S Mannheim Rd, Hillside, IL 60162-1821",Open today: 7:00 am - 9:00 pm,708-375-5071,FALSE
Target Chicago South Loop,"1154 S Clark St, Chicago, IL 60605-2159",Open today: 8:00 am - 9:00 pm,312-212-6300,FALSE
Target Oak Lawn,"4120 W 95th St, Oak Lawn, IL 60453-2675",Open today: 8:00 am - 9:00 pm,708-741-4052,FALSE
Target Chicago Hyde Park IL,"1346 E 53rd St, Chicago, IL 60615-4002",Open today: 8:00 am - 9:00 pm,773-358-4139,FALSE
Target Crestwood,"5071 Cal Sag Rd, Crestwood, IL 60418-1458",Open today: 8:00 am - 9:00 pm,708-385-9722,FALSE
Target Homewood,"17605 S Halsted St, Homewood, IL 60430-2007",Open today: 8:00 am - 9:00 pm,708-335-5250,FALSE
Target Glenview,"2241 Willow Rd, Glenview, IL 60025-7636",Open today: 7:00 am - 9:00 pm,847-657-0095,FALSE
Target Golf Mill,"239 Golf Mill Ctr, Niles, IL 60714-1237",Open today: 8:00 am - 9:00 pm,847-768-9217,FALSE
Target Rosemont,"7000 Mannheim Rd, Rosemont, IL 60018-3621",Open today: 8:00 am - 9:00 pm,847-795-1760,FALSE
Target Arlington Heights,"1700 E Rand Rd, Arlington Heights, IL 60004-4379",Open today: 8:00 am - 9:00 pm,847-222-0925,FALSE
Target Highland Park,"2099 Skokie Valley Rd, Highland Park, IL 60035-1728",Open today: 8:00 am - 9:00 pm,847-266-8022,FALSE
Target Wheeling,"1400 W Lake Cook Rd, Wheeling, IL 60090-2239",Open today: 8:00 am - 9:00 pm,847-215-5051,FALSE
Target Palatine,"679 E Dundee Rd, Palatine, IL 60074-2817",Open today: 8:00 am - 9:00 pm,847-202-5120,FALSE
Target Woodfield,"1235 E Higgins Rd, Schaumburg, IL 60173-4939",Open today: 8:00 am - 9:00 pm,847-413-1080,FALSE
Target Wood Dale,"401 W Irving Park Rd, Wood Dale, IL 60191-1338",Open today: 8:00 am - 9:00 pm,630-594-5510,FALSE
Target Vernon Hills,"313 E Townline Rd, Vernon Hills, IL 60061-1555",Open today: 7:00 am - 9:00 pm,847-680-0390,FALSE
Target Lake Zurich,"555 S Rand Rd, Lake Zurich, IL 60047-2356",Open today: 8:00 am - 10:00 pm,847-726-1174,FALSE
Target West Schaumburg,"2621 W Schaumburg Rd, Schaumburg, IL 60194-3894",Open today: 7:00 am - 9:00 pm,847-798-0192,FALSE
Target Hoffman Estates,"2800 N Sutton Rd, HoffMan Estates, IL 60192-3717",Open today: 8:00 am - 9:00 pm,847-645-1170,FALSE
Target Mundelein,"3100 W IL Route 60, Mundelein, IL 60060-4267",Open today: 7:00 am - 9:00 pm,847-367-2650,FALSE
Target Lake Bluff,"975 Rockland Rd, Lake Bluff, IL 60044-1778",Open today: 8:00 am - 9:00 pm,847-810-8085,FALSE
Target Streamwood,"1001 Sutton Rd, Streamwood, IL 60107-2332",Open today: 7:00 am - 9:00 pm,630-372-3330,FALSE
Target Glendale Heights,"175 W Army Trail Rd, Glendale Heights, IL 60139-1971",Open today: 7:00 am - 9:00 pm,630-582-0043,FALSE
Target Willowbrook,"7601 Kingery Hwy, Willowbrook, IL 60527-5538",Open today: 8:00 am - 9:00 pm,630-321-2080,FALSE
Target Villa Park,"50 E North Ave, Villa Park, IL 60181-1244",Open today: 8:00 am - 9:00 pm,630-833-7411,FALSE
Target Lombard,"60 Yorktown Shopping Ctr, Lombard, IL 60148-5529",Open today: 8:00 am - 9:00 pm,630-495-9560,FALSE
Target Munster,"8005 Calumet Ave, Munster, IN 46321-1217",Open today: 8:00 am - 10:00 pm,219-836-2489,FALSE
Target Tinley Park,"7300 191st St, Tinley Park, IL 60487-9361",Open today: 7:00 am - 9:00 pm,815-806-3210,FALSE
Target Orland Park,"15850 S 94th Ave, Orland Park, IL 60462-4725",Open today: 8:00 am - 9:00 pm,708-349-1122,FALSE
Target Highland,"10451 Indianapolis Blvd, Highland, IN 46322-3511",Open today: 8:00 am - 10:00 pm,219-924-1527,FALSE
Target St John,"9885 Wicker Ave, Saint John, IN 46373-9413",Open today: 8:00 am - 10:00 pm,219-365-8162,FALSE
Target New Lenox,"2370 E Lincoln Hwy, New Lenox, IL 60451-9533",Open today: 8:00 am - 9:00 pm,815-462-6001,FALSE
Target Lemont,"13460 S Archer Ave, Lemont, IL 60439-4755",Open today: 8:00 am - 9:00 pm,630-243-6511,FALSE
Target Woodridge,"2333 63rd St, Woodridge, IL 60517-1300",Open today: 8:00 am - 9:00 pm,630-434-0909,FALSE
